,article_title,country,revision_id,article_quality,region,population
0,Majah Ha Adrif,Afghanistan,1233202991,Start,SOUTH ASIA,42.4
1,Haroon al-Afghani,Afghanistan,1230459615,B,SOUTH ASIA,42.4
2,Tayyab Agha,Afghanistan,1225661708,Start,SOUTH ASIA,42.4
3,Khadija Zahra Ahmadi,Afghanistan,1234741562,Stub,SOUTH ASIA,42.4
4,Aziza Ahmadyar,Afghanistan,1195651393,Start,SOUTH ASIA,42.4
5,Muqadasa Ahmadzai,Afghanistan,1235521766,Start,SOUTH ASIA,42.4
6,Mohammad Sarwar Ahmedzai,Afghanistan,1176429234,Start,SOUTH ASIA,42.4
7,Amir Muhammad Akhundzada,Afghanistan,1247931713,Start,SOUTH ASIA,42.4
8,Nasrullah Baryalai Arsalai,Afghanistan,1225385278,Start,SOUTH ASIA,42.4
9,Abdul Rahim Ayoubi,Afghanistan,1226326055,Start,SOUTH ASIA,42.4
10,Ismael Balkhi,Afghanistan,1244521219,Start,SOUTH ASIA,42.4
11,Abdul Baqi Turkistani,Afghanistan,1231655023,,SOUTH ASIA,42.4
12,Mohammad Ghous Bashiri,Afghanistan,1237694188,Start,SOUTH ASIA,42.4
13,Jan Baz,Afghanistan,1227635806,Stub,SOUTH ASIA,42.4
14,Bashir Ahmad Bezan,Afghanistan,1248505877,Start,SOUTH ASIA,42.4
15,Rafiullah Bidar,Afghanistan,1197443408,Stub,SOUTH ASIA,42.4
16,Mohammad Siddiq Chakari,Afghanistan,1134129082,Stub,SOUTH ASIA,42.4
17,Cheragh Ali Cheragh,Afghanistan,1193992206,Start,SOUTH ASIA,42.4
18,Nasir Ahmad Durrani,Afghanistan,988838315,Stub,SOUTH ASIA,42.4
19,Muhammad Hashim Esmatullahi,Afghanistan,949986748,Stub,SOUTH ASIA,42.4
20,Ezatullah (Nangarhar),Afghanistan,1158302291,Stub,SOUTH ASIA,42.4
21,Aimal Faizi,Afghanistan,1185105938,Stub,SOUTH ASIA,42.4
22,Gajinder Singh Safri,Afghanistan,1212323536,Stub,SOUTH ASIA,42.4
23,Sharif Ghalib,Afghanistan,1245967190,Start,SOUTH ASIA,42.4
24,Hashmat Ghani Ahmadzai,Afghanistan,1207743719,C,SOUTH ASIA,42.4
25,Abdul Ghani Ghani,Afghanistan,1227026187,Stub,SOUTH ASIA,42.4
26,Ghulam Ghaus,Afghanistan,1158659195,Stub,SOUTH ASIA,42.4
27,Ghulam Muhammad Ghobar,Afghanistan,1240993642,Stub,SOUTH ASIA,42.4
28,Mohammad Gul (Helmand Council),Afghanistan,1136611354,Stub,SOUTH ASIA,42.4
29,Sayed Yousuf Halim,Afghanistan,1234514565,Stub,SOUTH ASIA,42.4
30,Rangina Hamidi,Afghanistan,1234743111,C,SOUTH ASIA,42.4
31,Sayed Zafar Hashemi,Afghanistan,1179137138,Start,SOUTH ASIA,42.4
32,Qutbuddin Hilal,Afghanistan,1246566795,Start,SOUTH ASIA,42.4
33,Mahboba Hoqomal,Afghanistan,1243745950,Stub,SOUTH ASIA,42.4
34,Musa Hotak,Afghanistan,1246566804,Start,SOUTH ASIA,42.4
35,Mirza Muhammad Ismail,Afghanistan,1235165845,C,SOUTH ASIA,42.4
36,Sayed Jalal,Afghanistan,1137130537,Start,SOUTH ASIA,42.4
37,Said Tayeb Jawad,Afghanistan,1248976824,C,SOUTH ASIA,42.4
38,Sayed Jalal Karim,Afghanistan,1136614743,Start,SOUTH ASIA,42.4
39,Hafizullah Shabaz Khail,Afghanistan,1238402857,Start,SOUTH ASIA,42.4
40,Masoud Khalili,Afghanistan,1246566971,GA,SOUTH ASIA,42.4
41,Mohammad Khan (athlete),Afghanistan,1247727443,Stub,SOUTH ASIA,42.4
42,Samoud Khan,Afghanistan,1195409073,Start,SOUTH ASIA,42.4
43,Baran Khan Kudezai,Afghanistan,1176481824,Start,SOUTH ASIA,42.4
44,Azizullah Lodin,Afghanistan,1247762293,Start,SOUTH ASIA,42.4
45,Razaq Mamoon,Afghanistan,1227180106,Start,SOUTH ASIA,42.4
46,Fazel Ahmed Manawi,Afghanistan,1234514379,Start,SOUTH ASIA,42.4
47,Moeen Marastial,Afghanistan,1246567093,Start,SOUTH ASIA,42.4
48,Ahmad Wali Massoud,Afghanistan,1221720658,Start,SOUTH ASIA,42.4
49,Mohammad Daud Miraki,Afghanistan,1227103354,C,SOUTH ASIA,42.4
50,Abdul Sattar Mirzakwal,Afghanistan,1145249317,Stub,SOUTH ASIA,42.4
51,Abdul Karim Misaq,Afghanistan,1235405154,Stub,SOUTH ASIA,42.4
52,Ali Mohammad (politician),Afghanistan,1136630194,Stub,SOUTH ASIA,42.4
53,Nasruddin Mohseni,Afghanistan,1136630129,Start,SOUTH ASIA,42.4
54,Davood Moradian,Afghanistan,1239319380,Stub,SOUTH ASIA,42.4
55,Zalmai Mujadidi,Afghanistan,1223903677,Start,SOUTH ASIA,42.4
56,Sardar Mohammad Nadir Naeem,Afghanistan,1204109653,Stub,SOUTH ASIA,42.4
57,Daoud Naji,Afghanistan,1247131367,Start,SOUTH ASIA,42.4
58,Gholam Rabani Nasher,Afghanistan,1136534788,Stub,SOUTH ASIA,42.4
59,Ghulam Faroq Nijrabi,Afghanistan,1136614778,Stub,SOUTH ASIA,42.4
60,Zabih-U-llah Ghazi Noristani,Afghanistan,1136614682,Start,SOUTH ASIA,42.4
61,Mohammed Tahir Omar,Afghanistan,1185088733,Stub,SOUTH ASIA,42.4
62,Mohammed Qalamuddin,Afghanistan,1178097642,Stub,SOUTH ASIA,42.4
63,Ghulam Mohammad Rigi,Afghanistan,1129192917,Stub,SOUTH ASIA,42.4
64,Ghulam Hassan Safi,Afghanistan,1176507815,Stub,SOUTH ASIA,42.4
65,Hanifa Safi,Afghanistan,1123824802,Stub,SOUTH ASIA,42.4
66,Mohammed Zia Salehi,Afghanistan,1225457074,Stub,SOUTH ASIA,42.4
67,Abdul Majid Samim,Afghanistan,1225425205,Stub,SOUTH ASIA,42.4
68,Saber Sangar,Afghanistan,1227951669,Stub,SOUTH ASIA,42.4
69,Sayed Nasim Mihanparast,Afghanistan,1172646418,Stub,SOUTH ASIA,42.4
70,Suhail Shaheen,Afghanistan,1198363158,Start,SOUTH ASIA,42.4
71,Fazal Hadi Shinwari,Afghanistan,1242412237,GA,SOUTH ASIA,42.4
72,Baktash Siawash,Afghanistan,1250972393,Stub,SOUTH ASIA,42.4
73,Hasan Ali Sultani,Afghanistan,1136614726,Stub,SOUTH ASIA,42.4
74,Mohammad Hashem Taufiqui,Afghanistan,1233490009,Start,SOUTH ASIA,42.4
75,Pacha Gul Wafadar,Afghanistan,1227179979,Stub,SOUTH ASIA,42.4
76,Wahidullah Waissi,Afghanistan,1232389768,C,SOUTH ASIA,42.4
77,Ahmadullah Wasiq,Afghanistan,1171042170,Start,SOUTH ASIA,42.4
78,Gul Ahmmad Yama,Afghanistan,1136614561,Start,SOUTH ASIA,42.4
79,Abdul Salam Zaeef,Afghanistan,1243758857,GA,SOUTH ASIA,42.4
80,Abdul Zahir (Konar Education Minister),Afghanistan,1126667481,Stub,SOUTH ASIA,42.4
81,Mohammed Zaman,Afghanistan,1229734414,Start,SOUTH ASIA,42.4
82,Ziauddin (Afghan militia leader),Afghanistan,1150044800,Start,SOUTH ASIA,42.4
83,Qari Ziauddin,Afghanistan,1245217124,Start,SOUTH ASIA,42.4
84,Abdul Ghafor Zori,Afghanistan,1136614520,Stub,SOUTH ASIA,42.4
85,Ali Pasha of Gusinje,Albania,1244421894,GA,SOUTHERN EUROPE,2.7
86,Ylli Asllani,Albania,1221605713,Start,SOUTHERN EUROPE,2.7
87,Azis Tahir Ajdonati,Albania,1192928746,Stub,SOUTHERN EUROPE,2.7
88,Bislim Bajgora,Albania,1217284690,C,SOUTHERN EUROPE,2.7
89,Kastriot Berissa,Albania,1244463139,Start,SOUTHERN EUROPE,2.7
90,Bardhok Biba,Albania,1250227174,C,SOUTHERN EUROPE,2.7
91,Kostandin Boshnjaku,Albania,1250227994,C,SOUTHERN EUROPE,2.7
92,Spartak Braho,Albania,1224650124,Start,SOUTHERN EUROPE,2.7
93,Safet Butka,Albania,1189442848,C,SOUTHERN EUROPE,2.7
94,Uran Butka,Albania,1196422551,Start,SOUTHERN EUROPE,2.7
95,Refo Çapari,Albania,1222381064,Start,SOUTHERN EUROPE,2.7
96,Neritan Ceka,Albania,1184807608,Start,SOUTHERN EUROPE,2.7
97,Hysni Curri,Albania,1198914812,Start,SOUTHERN EUROPE,2.7
98,Ibrahim Dalliu,Albania,1248264998,Start,SOUTHERN EUROPE,2.7
99,Niazi Demi,Albania,1209346411,Stub,SOUTHERN EUROPE,2.7
100,Abdurrahman Dibra,Albania,1244008227,Start,SOUTHERN EUROPE,2.7
101,Bujar Dida,Albania,1222151681,C,SOUTHERN EUROPE,2.7
102,Ahmed Dino,Albania,1209165678,Stub,SOUTHERN EUROPE,2.7
103,Rasih Dino,Albania,1180949327,Stub,SOUTHERN EUROPE,2.7
104,Ferhat Bey Draga,Albania,1236738861,C,SOUTHERN EUROPE,2.7
105,Nexhip Draga,Albania,1236738502,GA,SOUTHERN EUROPE,2.7
106,Aqif Pasha Elbasani,Albania,1243882903,GA,SOUTHERN EUROPE,2.7
107,Abas Ermenji,Albania,1240801210,Start,SOUTHERN EUROPE,2.7
108,Qamil Musa Haxhi Feza,Albania,1198224146,Stub,SOUTHERN EUROPE,2.7
109,Themistokli Gërmenji,Albania,1241037317,C,SOUTHERN EUROPE,2.7
110,Sabri Godo,Albania,1230739582,C,SOUTHERN EUROPE,2.7
111,Mihal Grameno,Albania,1226635783,C,SOUTHERN EUROPE,2.7
112,Aćif Hadžiahmetović,Albania,1229938943,GA,SOUTHERN EUROPE,2.7
113,High Council of Regency,Albania,1245450388,C,SOUTHERN EUROPE,2.7
114,Kurt Agë Kadiu,Albania,1244486529,Stub,SOUTHERN EUROPE,2.7
115,Mehmed Kalakula,Albania,1145510350,Stub,SOUTHERN EUROPE,2.7
116,Alfred Karamuço,Albania,1098236555,Stub,SOUTHERN EUROPE,2.7
117,Ibrahim Karbunara,Albania,1235824719,C,SOUTHERN EUROPE,2.7
118,Ali Këlcyra,Albania,1227369252,Start,SOUTHERN EUROPE,2.7
119,Bajram Kelmendi,Albania,1237006808,Start,SOUTHERN EUROPE,2.7
120,Kristo Kirka,Albania,1237950375,C,SOUTHERN EUROPE,2.7
121,Elez Koçi,Albania,1174010569,Start,SOUTHERN EUROPE,2.7
122,Xhelal Koprëncka,Albania,1209148780,Stub,SOUTHERN EUROPE,2.7
123,Kryeziu family,Albania,1236739222,Start,SOUTHERN EUROPE,2.7
124,Artur Kuko,Albania,1112281132,Stub,SOUTHERN EUROPE,2.7
125,Xhavid Leskoviku,Albania,1180950536,Start,SOUTHERN EUROPE,2.7
126,Sabit Lulo,Albania,1180950488,Stub,SOUTHERN EUROPE,2.7
127,Gjon Markagjoni,Albania,1227760361,C,SOUTHERN EUROPE,2.7
128,Tefik Mborja,Albania,1234673487,Start,SOUTHERN EUROPE,2.7
129,Hysni Milloshi,Albania,1218412314,Start,SOUTHERN EUROPE,2.7
130,Musa Qazimi,Albania,1235824584,GA,SOUTHERN EUROPE,2.7
131,Mustafa Ndroqi,Albania,1198219291,Stub,SOUTHERN EUROPE,2.7
132,Behxhet Nepravishta,Albania,1180949734,Stub,SOUTHERN EUROPE,2.7
133,Adrian Neritani,Albania,1196135017,Start,SOUTHERN EUROPE,2.7
134,Sali Nivica,Albania,1240539074,Start,SOUTHERN EUROPE,2.7
135,Thoma Orologa,Albania,1180949774,Start,SOUTHERN EUROPE,2.7
136,Bedri Pejani,Albania,1220757655,C,SOUTHERN EUROPE,2.7
137,Kadri Prishtina,Albania,1198167947,Start,SOUTHERN EUROPE,2.7
138,Ymer Prizreni,Albania,1215667416,Start,SOUTHERN EUROPE,2.7
139,Avni Rustemi,Albania,1229276965,Start,SOUTHERN EUROPE,2.7
140,Chatin Sarachi,Albania,1141930406,C,SOUTHERN EUROPE,2.7
141,Nebi Sefa,Albania,1244486537,Stub,SOUTHERN EUROPE,2.7
142,Eduard Shalsi,Albania,1173107489,Start,SOUTHERN EUROPE,2.7
143,Ylli Vesel Shehu,Albania,1250811470,Stub,SOUTHERN EUROPE,2.7
144,Athanas Shundi,Albania,1220369492,C,SOUTHERN EUROPE,2.7
145,Xhelal Sveçla,Albania,1217259369,Start,SOUTHERN EUROPE,2.7
146,Mehmet Tahsini,Albania,1239924043,Stub,SOUTHERN EUROPE,2.7
147,Ibrahim Temo,Albania,1228151428,GA,SOUTHERN EUROPE,2.7
148,Afrim Tole,Albania,1241836925,Stub,SOUTHERN EUROPE,2.7
149,Syreja Vlora,Albania,1186986269,Start,SOUTHERN EUROPE,2.7
150,Visarion Xhuvani,Albania,1135323365,C,SOUTHERN EUROPE,2.7
151,Visar Ymeri,Albania,1248230838,Stub,SOUTHERN EUROPE,2.7
152,Abdyl Ypi,Albania,1220281072,Stub,SOUTHERN EUROPE,2.7
153,Xhezair Zaganjori,Albania,1143896123,Start,SOUTHERN EUROPE,2.7
154,Menduh Zavalani,Albania,1235824554,FA,SOUTHERN EUROPE,2.7
155,Abdelkader Zoukh,Algeria,1250270534,Start,NORTHERN AFRICA,46.8
156,Chaâbane Aït Abderrahim,Algeria,1234096174,Start,NORTHERN AFRICA,46.8
157,Ali Aoun,Algeria,1214835889,Start,NORTHERN AFRICA,46.8
158,Basma Azouar,Algeria,1192088820,Stub,NORTHERN AFRICA,46.8
159,Mohamed Seghir Babes,Algeria,1226280389,Stub,NORTHERN AFRICA,46.8
160,Noureddine Bahbouh,Algeria,1099284595,Stub,NORTHERN AFRICA,46.8
161,Lamine Bechichi,Algeria,1111537825,Stub,NORTHERN AFRICA,46.8
162,Aïssa Bekkai,Algeria,1219685755,Stub,NORTHERN AFRICA,46.8
163,Abdelhakim Belabed,Algeria,1218173615,Start,NORTHERN AFRICA,46.8
164,Mohamed Tarek Belaribi,Algeria,1241671793,Start,NORTHERN AFRICA,46.8
165,Kamel Beldjoud,Algeria,1214832676,Stub,NORTHERN AFRICA,46.8
166,Aboubakr Belkaid,Algeria,1176411375,Start,NORTHERN AFRICA,46.8
167,Youcef Belmehdi,Algeria,1239235131,Stub,NORTHERN AFRICA,46.8
168,Mohamed Cherif Belmihoub,Algeria,1226553342,Start,NORTHERN AFRICA,46.8
169,Mohamed Belouizdad,Algeria,1169278443,Start,NORTHERN AFRICA,46.8
170,Benaouda Hadj Hacène Bachterzi,Algeria,1237478919,Stub,NORTHERN AFRICA,46.8
171,Souad Bendjaballah,Algeria,1134649751,Stub,NORTHERN AFRICA,46.8
172,Abdelkrim Benmbarek,Algeria,1245801726,Stub,NORTHERN AFRICA,46.8
